host,rtt,port,server_name,synStart,synEnd,scanEnd,protocol,cipher,resultString,verify_err_no,verify_code,server_version,depth,depth_verbose,error_data
76.76.2.123,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.10.59,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.90,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.108,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.106,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.132,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.128,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.10.87,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.17,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
78.46.206.250,,443,ipv4-dns.stud.cloud,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.91,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.122,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.58,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.118,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.130,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.10.69,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.127,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
78.142.193.51,,443,doh.sb,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
86.109.1.91,,443,proxy.odoh.cloudflare-dns.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.17,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.113,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.11,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.79,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.70,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.126,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.113,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.153,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
66.96.122.150,,443,doh.dns.apple.com,1647539964,1647539964,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.118,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.144,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.143,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.131,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
8.208.2.64,,443,dns.alidns.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
78.46.206.250,,443,www.dns.stud.cloud,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.106,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.64,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.142,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.121,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
78.142.193.116,,443,doh.sb,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
162.14.21.56,,443,dot.pub,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_256_GCM_SHA384,SUCCESS,,,,,,
76.76.2.12,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.182,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.181,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.134,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.149,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
