host,rtt,port,server_name,synStart,synEnd,scanEnd,protocol,cipher,resultString,verify_err_no,verify_code,server_version,depth,depth_verbose,error_data
76.76.2.195,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
78.13.18.81,,443,dns.google.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.10.25,,443,dns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.198,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.200,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.18,,443,dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.187,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
79.143.250.7,,443,doh.franciliens.net,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_256_GCM_SHA384,SUCCESS,,,,,,
76.76.2.189,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
77.244.244.214,,443,dns.kerekes.xyz,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_256_GCM_SHA384,SUCCESS,,,,,,
76.76.2.188,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.196,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.198,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.122,,443,dns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.165,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.183,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.168,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.178,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.125,,443,freedns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
